TMLOC,WMC,CBO,LCOM,RFC,Modify,ModifyCount
0,1,1,0,3,0,0
2,3,1,0,5,0,0
2,2,2,0,11,1,1
3,3,0,0,6,1,4
3,2,3,0,4,0,0
4,3,0,0,5,0,0
5,1,3,0,5,0,0
5,1,3,0,5,0,0
5,1,4,0,5,0,0
5,1,5,0,5,0,0
5,1,5,0,5,0,0
6,7,2,0,9,0,0
6,4,1,0.5,5,1,1
7,6,6,0,32,0,0
9,4,2,0,9,0,0
9,8,3,0.714,13,1,1
10,5,6,0.5,26,1,2
11,3,3,0,8,0,0
11,4,5,0.5,7,1,1
12,18,2,0,23,1,1
14,10,0,0,18,0,0
16,4,11,0,24,1,1
17,8,2,0,16,0,0
19,9,3,0,10,0,0
21,7,0,0,12,1,1
21,18,3,0.2,31,1,2
22,16,4,0.524,21,1,2
22,6,6,0.5,9,1,2
23,8,6,0,14,1,1
23,13,3,0.619,19,0,0
23,7,5,0.5,12,1,1
24,14,3,0.25,17,1,2
26,6,4,0,23,0,0
26,13,2,0.606,31,0,0
27,11,2,0,9,0,0
31,10,0,0.2,14,1,3
32,13,7,0,23,0,0
32,15,3,0.656,24,1,3
32,12,1,0.69,16,0,0
34,18,8,0.429,22,1,2
37,16,4,0.333,20,1,3
38,16,14,0.889,27,1,2
39,12,0,0,10,1,2
40,18,0,0.656,29,0,0
41,26,3,0.5,30,0,0
41,17,5,0.333,22,0,0
42,11,0,0,17,1,4
47,22,4,0,46,0,0
47,24,11,0.333,30,1,2
52,12,1,0,14,0,0
58,16,5,1,25,1,1
60,13,4,0,26,1,2
60,23,6,0.5,26,1,1
61,13,2,0,27,0,0
61,13,2,0,27,0,0
62,39,14,0.591,50,1,2
64,37,2,0.627,41,0,0
65,14,3,0,25,0,0
67,26,5,0.5,28,0,0
68,28,11,0.5,37,1,2
68,22,10,0.583,37,1,5
70,39,3,0,19,0,0
75,23,3,0,28,0,0
75,30,2,0.556,44,1,2
76,23,12,0.622,41,1,4
79,45,4,0.714,54,1,1
83,28,12,0,35,1,1
85,24,11,0.771,33,1,3
94,39,2,0.4,25,1,1
96,43,1,0.589,43,1,1
100,26,14,0.815,40,1,4
102,15,3,0,27,0,0
104,32,11,0.667,61,1,3
108,21,3,0.5,49,0,0
110,37,2,0.375,51,0,0
112,65,2,0.833,61,1,3
114,31,12,0.721,48,1,3
116,31,7,0.444,35,1,3
117,38,16,0.5,66,1,5
117,38,9,0.796,49,1,2
120,56,4,0,39,0,0
130,44,14,0.869,57,1,5
131,31,13,0.825,47,1,3
136,45,3,0,91,1,2
142,57,0,0.523,61,1,2
149,39,16,0.848,56,1,3
177,70,10,0.731,68,1,6
180,45,18,0,113,1,4
204,77,3,0.429,45,0,0
214,85,3,0,34,0,0
225,95,23,0,44,1,2
230,70,2,0,150,1,6
250,66,22,0.693,104,1,2
253,68,16,0.714,112,1,7
258,106,3,0,103,1,1
267,68,28,0.923,74,1,3
270,72,5,0,49,0,0
283,86,4,0,53,0,0
295,66,16,0.945,82,1,5
384,187,2,0.955,129,1,4
689,271,5,0,182,1,1
1304,234,38,0.533,294,1,4
