順位,投手名,チーム,カテゴリ,防御率,登板,勝利,敗北,セーブ,ホール,HP,完投,完封勝,無四球,勝率,打者,投球回,安打,本塁打,四球,故意四,死球,三振,暴投,ボーク,失点,自責点
1,山﨑　康晃,(デ),S上位,2.72,57,2,4,37,3,5,0,0,0,0.333,226,56.1,40,5,18,3,1,63,1,0,18,17
2,石山　泰稚,(ヤ),S上位,2.08,71,3,2,35,7,10,0,0,0,0.6,296,73.2,63,6,15,2,2,62,0,0,19,17
3,中﨑　翔太,(広),S上位,2.71,68,4,2,32,6,10,0,0,0,0.667,293,66.1,66,7,29,3,1,56,0,0,23,20
3,ドリス,(神),S上位,2.85,55,1,7,32,4,5,0,0,0,0.125,229,53.2,50,4,17,1,2,56,3,0,22,17
5,田島　慎二,(中),S上位,7.22,30,0,4,15,1,1,0,0,0,0,134,28.2,30,4,18,3,2,13,3,0,23,23
6,カミネロ,(巨),S上位,5.79,20,1,1,11,2,3,0,0,0,0.5,90,18.2,27,1,6,1,1,19,2,0,13,12
7,マシソン,(巨),S上位,2.97,34,0,3,8,14,14,0,0,0,0,133,33.1,21,3,13,1,1,41,0,0,12,11
8,佐藤　優,(中),S上位,2.08,42,1,2,5,10,11,0,0,0,0.333,184,43.1,27,2,23,0,3,51,2,0,15,10
9,アダメス,(巨),S上位,3.94,28,0,2,4,3,3,0,0,0,0,141,32,30,2,20,2,1,19,2,0,14,14
9,鈴木　博志,(中),S上位,4.41,53,4,6,4,12,16,0,0,0,0.4,219,49,46,7,27,1,1,42,1,0,28,24
