É_ÉEÉìÉçÅ[ÉhÇµÇΩéûçèÅF2018/10/13 11:35:26

,,ï‰çÇ,ï‰çÇ,ï‰çÇ,ìåãû,ìåãû,ìåãû,ìﬂîe,ìﬂîe,ìﬂîe
îNåéì˙,ójì˙,ç≈çÇãCâ∑(Åé),ç≈çÇãCâ∑(Åé),ç≈çÇãCâ∑(Åé),ç≈çÇãCâ∑(Åé),ç≈çÇãCâ∑(Åé),ç≈çÇãCâ∑(Åé),ç≈çÇãCâ∑(Åé),ç≈çÇãCâ∑(Åé),ç≈çÇãCâ∑(Åé)
,,,,,,,,,,
,,,ïiéøèÓïÒ,ãœéøî‘çÜ,,ïiéøèÓïÒ,ãœéøî‘çÜ,,ïiéøèÓïÒ,ãœéøî‘çÜ
2017/10/12,ñÿ,18.3,8,1,29.0,8,1,31.7,8,1
2017/10/13,ã‡,15.1,8,1,19.8,8,1,31.9,8,1
2017/10/14,ìy,17.3,8,1,15.4,8,1,30.9,8,1
2017/10/15,ì˙,13.9,8,1,16.0,8,1,32.1,8,1
2017/10/16,åé,12.0,8,1,14.3,8,1,31.8,8,1
2017/10/17,âŒ,17.0,8,1,15.6,8,1,30.1,8,1
2017/10/18,êÖ,15.8,8,1,19.5,8,1,31.4,8,1
2017/10/19,ñÿ,11.0,8,1,12.3,8,1,31.6,8,1
2017/10/20,ã‡,15.0,8,1,17.0,8,1,30.6,8,1
2017/10/21,ìy,15.8,8,1,17.2,8,1,28.8,8,1
2017/10/22,ì˙,15.0,8,1,18.1,8,1,27.1,8,1
2017/10/23,åé,15.3,8,1,22.7,8,1,27.4,8,1
2017/10/24,âŒ,14.5,8,1,18.2,8,1,27.1,8,1
2017/10/25,êÖ,10.1,8,1,14.4,8,1,26.4,8,1
2017/10/26,ñÿ,16.7,8,1,20.2,8,1,27.6,8,1
2017/10/27,ã‡,18.5,8,1,20.7,8,1,26.9,8,1
2017/10/28,ìy,11.4,8,1,16.5,8,1,27.1,8,1
2017/10/29,ì˙,12.5,8,1,16.3,8,1,26.6,8,1
2017/10/30,åé,12.7,8,1,18.9,8,1,23.7,8,1
2017/10/31,âŒ,13.9,8,1,16.9,8,1,25.3,8,1
2017/11/1,êÖ,19.0,8,1,19.1,8,1,26.7,8,1
2017/11/2,ñÿ,18.3,8,1,20.8,8,1,27.8,8,1
2017/11/3,ã‡,19.0,8,1,21.9,8,1,27.5,8,1
2017/11/4,ìy,12.7,8,1,21.8,8,1,24.3,8,1
2017/11/5,ì˙,12.5,8,1,17.8,8,1,26.0,8,1
2017/11/6,åé,20.1,8,1,19.8,8,1,26.9,8,1
2017/11/7,âŒ,21.6,8,1,21.2,8,1,27.3,8,1
2017/11/8,êÖ,17.9,8,1,18.4,8,1,27.5,8,1
2017/11/9,ñÿ,13.0,8,1,18.8,8,1,27.5,8,1
2017/11/10,ã‡,18.3,8,1,17.7,8,1,27.9,8,1
2017/11/11,ìy,16.0,8,1,20.7,8,1,25.7,8,1
2017/11/12,ì˙,10.2,8,1,16.1,8,1,23.3,8,1
2017/11/13,åé,16.0,8,1,16.5,8,1,24.7,8,1
2017/11/14,âŒ,14.2,8,1,15.3,8,1,25.8,8,1
2017/11/15,êÖ,14.2,8,1,17.0,8,1,26.2,8,1
2017/11/16,ñÿ,7.6,8,1,16.4,8,1,23.8,8,1
2017/11/17,ã‡,10.0,8,1,13.6,8,1,24.9,8,1
2017/11/18,ìy,9.7,8,1,15.1,8,1,25.9,8,1
2017/11/19,ì˙,7.9,8,1,12.3,8,1,21.0,8,1
2017/11/20,åé,8.1,8,1,10.4,8,1,22.2,8,1
2017/11/21,âŒ,4.3,8,1,11.9,8,1,23.3,8,1
2017/11/22,êÖ,10.0,8,1,11.5,8,1,27.1,8,1
2017/11/23,ñÿ,10.8,8,1,14.5,8,1,22.4,8,1
2017/11/24,ã‡,4.7,8,1,14.8,8,1,21.5,8,1
2017/11/25,ìy,10.0,8,1,14.4,8,1,23.4,8,1
2017/11/26,ì˙,14.0,8,1,18.2,8,1,24.9,8,1
2017/11/27,åé,8.6,8,1,14.5,8,1,24.1,8,1
2017/11/28,âŒ,12.9,8,1,15.0,8,1,26.3,8,1
2017/11/29,êÖ,14.8,8,1,19.2,8,1,27.0,8,1
2017/11/30,ñÿ,7.8,8,1,14.3,8,1,25.2,8,1
2017/12/1,ã‡,8.8,8,1,10.2,8,1,20.9,8,1
2017/12/2,ìy,7.7,8,1,11.1,8,1,20.3,8,1
2017/12/3,ì˙,12.0,8,1,12.5,8,1,23.1,8,1
2017/12/4,åé,6.2,8,1,12.6,8,1,22.3,8,1
2017/12/5,âŒ,6.4,8,1,14.5,8,1,19.7,8,1
2017/12/6,êÖ,5.0,8,1,11.1,8,1,20.2,8,1
2017/12/7,ñÿ,9.6,8,1,11.5,8,1,21.6,8,1
2017/12/8,ã‡,4.1,8,1,9.5,8,1,20.4,8,1
2017/12/9,ìy,3.4,8,1,10.4,8,1,19.9,8,1
